technology,year,parameter,value,unit,source,further description,currency_year
solar-rooftop,2030,discount rate,0.04,per unit,standard for decentral,,
onwind,2030,lifetime,30,years,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,
offwind,2030,lifetime,30,years,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,
solar,2030,lifetime,25,years,IEA2010,,
solar-rooftop,2030,lifetime,25,years,IEA2010,,
solar-utility,2030,lifetime,25,years,IEA2010,,
PHS,2030,lifetime,80,years,IEA2010,,
hydro,2030,lifetime,80,years,IEA2010,,
ror,2030,lifetime,80,years,IEA2010,,
OCGT,2030,lifetime,30,years,IEA2010,,
nuclear,2030,lifetime,45,years,ECF2010 in DIW DataDoc http://hdl.handle.net/10419/80348,,
CCGT,2030,lifetime,30,years,IEA2010,,
coal,2030,lifetime,40,years,IEA2010,,
lignite,2030,lifetime,40,years,IEA2010,,
geothermal,2030,lifetime,40,years,IEA2010,,
biomass,2030,lifetime,30,years,ECF2010 in DIW DataDoc http://hdl.handle.net/10419/80348,,
oil,2030,lifetime,30,years,ECF2010 in DIW DataDoc http://hdl.handle.net/10419/80348,,
onwind,2030,investment,1040,EUR/kWel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013
offwind,2030,investment,1640,EUR/kWel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013
offwind-ac-station,2030,investment,250,EUR/kWel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013
offwind-ac-connection-submarine,2030,investment,2685,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013
offwind-ac-connection-underground,2030,investment,1342,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013
offwind-dc-station,2030,investment,400,EUR/kWel,Haertel 2017, assuming one onshore and one offshore node + 13% learning reduction,2013
offwind-dc-connection-submarine,2030,investment,2000,EUR/MW/km,DTU report based on Fig 34 of https://ec.europa.eu/energy/sites/ener/files/documents/2014_nsog_report.pdf,,2013
offwind-dc-connection-underground,2030,investment,1000,EUR/MW/km,Haertel 2017, average + 13% learning reduction,2013
solar,2030,investment,600,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
biomass,2030,investment,2209,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
geothermal,2030,investment,3392,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
coal,2030,investment,1300,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC),,2013
lignite,2030,investment,1500,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
solar-rooftop,2030,investment,725,EUR/kWel,ETIP PV,,2013
solar-utility,2030,investment,425,EUR/kWel,ETIP PV,,2013
PHS,2030,investment,2000,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
hydro,2030,investment,2000,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
ror,2030,investment,3000,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
OCGT,2030,investment,400,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
nuclear,2030,investment,6000,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
CCGT,2030,investment,800,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
oil,2030,investment,400,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
onwind,2030,FOM,2.450549,%/year,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013
offwind,2030,FOM,2.304878,%/year,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013
solar,2030,FOM,4.166667,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
solar-rooftop,2030,FOM,2,%/year,ETIP PV,,2013
solar-utility,2030,FOM,3,%/year,ETIP PV,,2013
biomass,2030,FOM,4.526935,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
geothermal,2030,FOM,2.358491,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
coal,2030,FOM,1.923076,%/year,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC),,2013
lignite,2030,FOM,2,%/year,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC),,2013
oil,2030,FOM,1.5,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
PHS,2030,FOM,1,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
hydro,2030,FOM,1,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
ror,2030,FOM,2,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
CCGT,2030,FOM,2.5,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
OCGT,2030,FOM,3.75,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
onwind,2030,VOM,2.3,EUR/MWhel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013
offwind,2030,VOM,2.7,EUR/MWhel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013
solar,2030,VOM,0.01,EUR/MWhel,RES costs made up to fix curtailment order,,2013
coal,2030,VOM,6,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC),,2013
lignite,2030,VOM,7,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
CCGT,2030,VOM,4,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
OCGT,2030,VOM,3,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
nuclear,2030,VOM,8,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
gas,2030,fuel,21.6,EUR/MWhth,IEA2011b,,2013
uranium,2030,fuel,3,EUR/MWhth,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
oil,2030,VOM,3,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013
nuclear,2030,fuel,3,EUR/MWhth,IEA2011b,,2013
biomass,2030,fuel,7,EUR/MWhth,IEA2011b,,2013
coal,2030,fuel,8.4,EUR/MWhth,IEA2011b,,2013
lignite,2030,fuel,2.9,EUR/MWhth,IEA2011b,,2013
oil,2030,fuel,50,EUR/MWhth,IEA WEM2017 97USD/boe = http://www.iea.org/media/weowebsite/2017/WEM_Documentation_WEO2017.pdf,,2013
PHS,2030,efficiency,0.75,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
hydro,2030,efficiency,0.9,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
ror,2030,efficiency,0.9,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
OCGT,2030,efficiency,0.39,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
CCGT,2030,efficiency,0.5,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
biomass,2030,efficiency,0.468,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
geothermal,2030,efficiency,0.239,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
nuclear,2030,efficiency,0.337,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
gas,2030,CO2 intensity,0.187,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,
coal,2030,efficiency,0.464,per unit,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC),,
lignite,2030,efficiency,0.447,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
oil,2030,efficiency,0.393,per unit,DIW DataDoc http://hdl.handle.net/10419/80348 CT,,
coal,2030,CO2 intensity,0.354,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,
lignite,2030,CO2 intensity,0.334,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,
oil,2030,CO2 intensity,0.248,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,
geothermal,2030,CO2 intensity,0.026,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,
electrolysis,2030,investment,350,EUR/kWel,Palzer Thesis,,2013
electrolysis,2030,FOM,4,%/year,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf, budischak2013,2013
electrolysis,2030,lifetime,18,years,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf, budischak2013,
electrolysis,2030,efficiency,0.8,per unit,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf, budischak2013,
fuel cell,2030,investment,339,EUR/kWel,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf, budischak2013,2013
fuel cell,2030,FOM,3,%/year,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf, budischak2013,2013
fuel cell,2030,lifetime,20,years,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf, budischak2013,
fuel cell,2030,efficiency,0.58,per unit,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf, budischak2013 conservative 2020,
hydrogen storage tank,2030,investment,11.2,USD/kWh,budischak2013,,2013
hydrogen storage tank,2030,lifetime,20,years,budischak2013,,
hydrogen storage underground,2030,investment,0.5,EUR/kWh,maximum from https://www.nrel.gov/docs/fy10osti/46719.pdf,,2013
hydrogen storage underground,2030,lifetime,40,years,http://www.acatech.de/fileadmin/user_upload/Baumstruktur_nach_Website/Acatech/root/de/Publikationen/Materialien/ESYS_Technologiesteckbrief_Energiespeicher.pdf,,
H2 pipeline,2030,investment,267,EUR/MW/km,Welder et al https://doi.org/10.1016/j.ijhydene.2018.12.156,,2013
H2 pipeline,2030,lifetime,40,years,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf,,
H2 pipeline,2030,FOM,5,%/year,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf,,2013
H2 pipeline,2030,efficiency,0.98,per unit,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf,,
methanation,2030,investment,1000,EUR/kWH2,Schaber thesis,,2013
methanation,2030,lifetime,25,years,Schaber thesis,,
methanation,2030,FOM,3,%/year,Schaber thesis,,2013
methanation,2030,efficiency,0.6,per unit,Palzer, Breyer for DAC,
helmeth,2030,investment,1000,EUR/kW,no source,,2013
helmeth,2030,lifetime,25,years,no source,,
helmeth,2030,FOM,3,%/year,no source,,2013
helmeth,2030,efficiency,0.8,per unit,HELMETH press release,,
DAC,2030,investment,250,EUR/(tCO2/a),Fasihi/Climeworks,,2013
DAC,2030,lifetime,30,years,Fasihi,,
DAC,2030,FOM,4,%/year,Fasihi,,2013
battery inverter,2030,investment,411,USD/kWel,budischak2013,,2013
battery inverter,2030,lifetime,20,years,budischak2013,,
battery inverter,2030,efficiency,0.9,per unit charge/discharge,budischak2013, Lund and Kempton (2008) http://dx.doi.org/10.1016/j.enpol.2008.06.007,
battery inverter,2030,FOM,3,%/year,budischak2013,,2013
battery storage,2030,investment,192,USD/kWh,budischak2013,,2013
battery storage,2030,lifetime,15,years,budischak2013,,
decentral air-sourced heat pump,2030,investment,1050,EUR/kWth,HP, Palzer thesis,2013
decentral air-sourced heat pump,2030,lifetime,20,years,HP, Palzer thesis,
decentral air-sourced heat pump,2030,FOM,3.5,%/year,Palzer thesis,,2013
decentral air-sourced heat pump,2030,efficiency,3,per unit,default for costs,,
decentral air-sourced heat pump,2030,discount rate,0.04,per unit,Palzer thesis,,
decentral ground-sourced heat pump,2030,investment,1400,EUR/kWth,Palzer thesis,,2013
decentral ground-sourced heat pump,2030,lifetime,20,years,Palzer thesis,,
decentral ground-sourced heat pump,2030,FOM,3.5,%/year,Palzer thesis,,2013
decentral ground-sourced heat pump,2030,efficiency,4,per unit,default for costs,,
decentral ground-sourced heat pump,2030,discount rate,0.04,per unit,Palzer thesis,,
central air-sourced heat pump,2030,investment,700,EUR/kWth,Palzer thesis,,2013
central air-sourced heat pump,2030,lifetime,20,years,Palzer thesis,,
central air-sourced heat pump,2030,FOM,3.5,%/year,Palzer thesis,,2013
central air-sourced heat pump,2030,efficiency,3,per unit,default for costs,,
retrofitting I,2030,discount rate,0.04,per unit,Palzer thesis,,
retrofitting I,2030,lifetime,50,years,Palzer thesis,,
retrofitting I,2030,FOM,1,%/year,Palzer thesis,,2013
retrofitting I,2030,investment,50,EUR/m2/fraction reduction,Palzer thesis,,2013
retrofitting II,2030,discount rate,0.04,per unit,Palzer thesis,,
retrofitting II,2030,lifetime,50,years,Palzer thesis,,
retrofitting II,2030,FOM,1,%/year,Palzer thesis,,2013
retrofitting II,2030,investment,250,EUR/m2/fraction reduction,Palzer thesis,,2013
water tank charger,2030,efficiency,0.9,per unit,HP,,
water tank discharger,2030,efficiency,0.9,per unit,HP,,
decentral water tank storage,2030,investment,860,EUR/m3,IWES Interaktion,,2013
decentral water tank storage,2030,FOM,1,%/year,HP,,2013
decentral water tank storage,2030,lifetime,20,years,HP,,
decentral water tank storage,2030,discount rate,0.04,per unit,Palzer thesis,,
central water tank storage,2030,investment,30,EUR/m3,IWES Interaktion,,2013
central water tank storage,2030,FOM,1,%/year,HP,,2013
central water tank storage,2030,lifetime,40,years,HP,,
decentral resistive heater,2030,investment,100,EUR/kWhth,Schaber thesis,,2013
decentral resistive heater,2030,lifetime,20,years,Schaber thesis,,
decentral resistive heater,2030,FOM,2,%/year,Schaber thesis,,2013
decentral resistive heater,2030,efficiency,0.9,per unit,Schaber thesis,,
decentral resistive heater,2030,discount rate,0.04,per unit,Palzer thesis,,
central resistive heater,2030,investment,100,EUR/kWhth,Schaber thesis,,2013
central resistive heater,2030,lifetime,20,years,Schaber thesis,,
central resistive heater,2030,FOM,2,%/year,Schaber thesis,,2013
central resistive heater,2030,efficiency,0.9,per unit,Schaber thesis,,
decentral gas boiler,2030,investment,175,EUR/kWhth,Palzer thesis,,2013
decentral gas boiler,2030,lifetime,20,years,Palzer thesis,,
decentral gas boiler,2030,FOM,2,%/year,Palzer thesis,,2013
decentral gas boiler,2030,efficiency,0.9,per unit,Palzer thesis,,
decentral gas boiler,2030,discount rate,0.04,per unit,Palzer thesis,,
central gas boiler,2030,investment,63,EUR/kWhth,Palzer thesis,,2013
central gas boiler,2030,lifetime,22,years,Palzer thesis,,
central gas boiler,2030,FOM,1,%/year,Palzer thesis,,2013
central gas boiler,2030,efficiency,0.9,per unit,Palzer thesis,,
decentral CHP,2030,lifetime,25,years,HP,,
decentral CHP,2030,investment,1400,EUR/kWel,HP,,2013
decentral CHP,2030,FOM,3,%/year,HP,,2013
decentral CHP,2030,discount rate,0.04,per unit,Palzer thesis,,
central CHP,2030,lifetime,25,years,HP,,
central CHP,2030,investment,650,EUR/kWel,HP,,2013
central CHP,2030,FOM,3,%/year,HP,,2013
decentral solar thermal,2030,discount rate,0.04,per unit,Palzer thesis,,
decentral solar thermal,2030,FOM,1.3,%/year,HP,,2013
decentral solar thermal,2030,investment,270000,EUR/1000m2,HP,,2013
decentral solar thermal,2030,lifetime,20,years,HP,,
central solar thermal,2030,FOM,1.4,%/year,HP,,2013
central solar thermal,2030,investment,140000,EUR/1000m2,HP,,2013
central solar thermal,2030,lifetime,20,years,HP,,
HVAC overhead,2030,investment,400,EUR/MW/km,Hagspiel,,2013
HVAC overhead,2030,lifetime,40,years,Hagspiel,,
HVAC overhead,2030,FOM,2,%/year,Hagspiel,,2013
HVDC overhead,2030,investment,400,EUR/MW/km,Hagspiel,,2013
HVDC overhead,2030,lifetime,40,years,Hagspiel,,
HVDC overhead,2030,FOM,2,%/year,Hagspiel,,2013
HVDC submarine,2030,investment,2000,EUR/MW/km,DTU report based on Fig 34 of https://ec.europa.eu/energy/sites/ener/files/documents/2014_nsog_report.pdf,,2013
HVDC submarine,2030,lifetime,40,years,Hagspiel,,
HVDC submarine,2030,FOM,2,%/year,Hagspiel,,2013
HVDC inverter pair,2030,investment,150000,EUR/MW,Hagspiel,,2013
HVDC inverter pair,2030,lifetime,40,years,Hagspiel,,
HVDC inverter pair,2030,FOM,2,%/year,Hagspiel,,2013
csp-tower,2030,FOM,1.1,%/year,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),,2013
csp-tower,2030,investment,108.37,"EUR/kW_th,dp",ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,2013
csp-tower,2030,lifetime,30,years,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),,
csp-tower TES,2030,FOM,1.1,%/year,see solar-tower.,,2013
csp-tower TES,2030,investment,14.52,EUR/kWh_th,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,2013
csp-tower TES,2030,lifetime,30,years,see solar-tower.,,
csp-tower power block,2030,FOM,1.1,%/year,see solar-tower.,,2013
csp-tower power block,2030,investment,759.17,EUR/kW_e,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,2013
csp-tower power block,2030,lifetime,30,years,see solar-tower.,,
